umap1	umap2	tok	year_label
1.1858757	12.890275	3.571	0
0.58647144	11.8328705	mc903	0
1.8304716	12.088999	riskfactor	0
0.8946899	11.010674	minicircle	0
3.272954	9.339231	vtach	0
0.26097125	9.983262	gene_130749	0
0.22724102	10.481217	gene_22221	0
2.402827	9.910058	preneoplasic	0
2.4148297	13.832701	t(df	0
1.6740927	11.334801	touchdown	0
2.2711573	12.693689	geotechnical	0
1.8449434	12.322373	kneepad	0
0.42358145	10.157417	gene_90	0
-0.8417447	10.025755	verdoheme	0
0.52825606	13.162983	2.139	0
-0.6058487	9.790503	triiodide	0
2.3894262	9.980361	species_11909	0
3.860919	12.086503	siii	0
0.39901564	11.170937	nonorthologous	0
0.28756714	12.559251	biolyte	0
-0.44757727	10.778767	phospholipolysis	0
3.8179142	12.552923	bastante	0
2.7393742	9.622269	postlarvae	0
2.786957	13.680697	off1	0
1.0629532	8.994488	cbvs	0
0.16683376	11.669524	o-(6'-o	0
1.6666352	13.250043	efficiencies	0
0.54726106	10.7979	lmpg	0
3.8285553	12.560468	6e1	0
-0.06198335	10.006645	chemical_mesh_c456587	0
2.2611306	11.298806	viagen	0
4.1471686	11.714445	biemann	0
2.4951944	10.6642475	phaseoleae	0
-1.0490277	13.151428	0.00066	0
-0.4988695	11.143492	udpga	0
3.1940093	12.216631	rotashield	0
1.8986317	11.882593	irsf	0
2.5497508	12.907378	palacios	0
0.67068416	9.895516	c3h10t1/2	0
1.4125324	13.399631	thulium	0
1.6065743	13.392595	l139	0
2.7043688	13.99429	emerged	0
-0.7230122	11.670839	neotetraose	0
2.0282555	11.752515	antiaging	0
3.2444425	11.66202	elble	0
3.0899541	9.592314	imu	0
1.7877146	9.257676	aphakia	0
4.3806863	11.764244	horst	0
-0.55615675	13.008879	-.028	0
-0.99070835	11.037353	5'-drp	0
-0.78327715	10.459917	chemical_mesh_c008070	0
3.791377	9.295297	-rider	0
-1.1405041	12.783736	-15.8	0
4.337983	9.299843	depoliticise	0
