tok	changepoint_idx	start_idx	end_idx	value
/5\-	2016-2017	2015-2016	2016-2017	11.948681799833501
/5\-	2017-2018	2016-2017	2017-2018	-11.96820946717308
/disease	2017-2018	2016-2017	2017-2018	12.327052412773897
/disease	2018-2019	2017-2018	2018-2019	-12.264762217231098
/ftc	2011-2012	2010-2011	2011-2012	11.43510742077933
/gr	2016-2017	2015-2016	2016-2017	11.514802899304339
/gr	2017-2018	2016-2017	2017-2018	-11.652936632607448
/hypocretin	2014-2015	2013-2014	2014-2015	-11.475328231352492
008	2008-2009	2007-2008	2008-2009	-12.270978965710217
009	2009-2010	2008-2009	2009-2010	-31.879759055101758
014	2013-2014	2011-2012	2013-2014	393.7909965599796
014	2014-2015	2013-2014	2014-2015	-394.5761670294967
016	2015-2016	2013-2014	2015-2016	336.46245314355394
016	2016-2017	2015-2016	2016-2017	-337.6810718625341
020	2019-2020	2017-2018	2019-2020	134.20131428880708
02:01	2011-2012	2010-2011	2011-2012	-11.105689155369877
0\.675	2010-2011	2009-2010	2010-2011	11.020468096895646
0\.762	2011-2012	2010-2011	2011-2012	11.270926594541528
1,044	2014-2015	2013-2014	2014-2015	-11.42744164658236
106b	2017-2018	2016-2017	2017-2018	-12.043235307507382
10\-unit	2014-2015	2012-2013	2014-2015	13.84463070751869
10\-unit	2015-2016	2014-2015	2015-2016	-13.683809146309732
10\.1186	2016-2017	2013-2014	2016-2017	347.70859758159753
10\.1186	2017-2018	2016-2017	2018-2019	-347.97184665862994
10\.17605	2019-2020	2016-2017	2019-2020	18.788917741554506
10\.6084	2018-2019	2017-2018	2018-2019	40.628116770103624
10\.6084	2019-2020	2018-2019	2019-2020	-38.783050785561954
10e8	2013-2014	2012-2013	2013-2014	17.31433169998435
10e8	2014-2015	2013-2014	2014-2015	-17.006534295418717
10y	2017-2018	2016-2017	2017-2018	15.20429647208352
10y	2018-2019	2017-2018	2018-2019	-15.040198000103606
11c\]co2	2019-2020	2018-2019	2019-2020	15.085300790268175
11c\]pbr28	2014-2015	2013-2014	2014-2015	23.011166909568207
11c\]pbr28	2015-2016	2014-2015	2015-2016	-23.53279256432732
13cbeta	2009-2010	2008-2009	2009-2010	11.694352318573335
13cbeta	2010-2011	2009-2010	2010-2011	-11.771939677088323
16s	2002-2003	2000-2001	2003-2004	-12.173162470386403
18f\]\-fdg	2011-2012	2009-2010	2011-2012	23.494807085072107
18f\]\-fdg	2012-2013	2011-2012	2012-2013	-23.81859043429603
1\-nitropyrene	2019-2020	2017-2018	2019-2020	14.624530954129774
1\-year	2004-2005	2003-2004	2004-2005	12.094061069627559
1\.34	2004-2005	2003-2004	2004-2005	12.037136042285155
1d11	2015-2016	2014-2015	2015-2016	13.178876689377988
1d11	2016-2017	2015-2016	2016-2017	-12.98731994437156
2'\-fucosyllactose	2017-2018	2016-2017	2017-2018	13.869918080205434
2'\-fucosyllactose	2018-2019	2017-2018	2018-2019	-12.949837832765153
2001	2001-2002	2000-2001	2004-2005	-282.8853334712737
2002	2002-2003	2001-2002	2005-2006	-1071.5072326233926
2003	2002-2003	2001-2002	2002-2003	99.58921751655227
2003	2003-2004	2002-2003	2005-2006	-99.28528496610437
2004	2003-2004	2001-2002	2003-2004	80.95014170591196
2004	2004-2005	2003-2004	2007-2008	-80.16746629241341
2005	2004-2005	2003-2004	2004-2005	12.277887473074966
2005	2005-2006	2004-2005	2007-2008	-13.397983951717258
2010	2009-2010	2007-2008	2009-2010	12.695094302567433
2010	2011-2012	2009-2010	2012-2013	-12.711815547629593
2013	2012-2013	2011-2012	2012-2013	31.59922972704291
2013	2013-2014	2012-2013	2015-2016	-32.693184605768515
2017a	2018-2019	2017-2018	2018-2019	-11.821035890055064
2018/19	2018-2019	2016-2017	2018-2019	34.010261489513674
