tok	original_global_distance	global_distance_qst	local_distance_qst	ratio_metric	year_1	year_2
poly(adp	0.279993023276329	0.6004801313333905	0.8283583185761977	1.503004427132704	2007	2008
partners	0.214739943742752	0.6515925730068746	0.8897321233675253	1.8702028789407277	2007	2008
permeation	0.5239252081513405	0.706255487874727	0.9597692313883713	2.404318919066413	2007	2008
137	0.3940508240461349	0.6222868323420236	0.8601447432640699	1.647511618937022	2007	2008
sixty	0.164172602891922	0.578410673065229	0.7628797257404565	1.3719765565951378	2007	2008
-0.4	0.4954577532410621	0.5666735549648175	0.78641538575341	1.3077289915200268	2007	2008
vigorously	0.7080295598506927	0.6164723978171993	0.9314302170429503	1.6073742653947771	2007	2008
pdgf	0.4000860857963562	0.6539644555560561	0.8924850174994046	1.8898765345246071	2007	2008
vesicular	0.3240611046552658	0.6644119304003151	0.8909642242681748	1.9798437149237051	2007	2008
normalised	0.7438298563659191	0.645727126204474	0.8989865528262138	1.8226829485600569	2007	2008
transgenesis	0.4713416665792465	0.6285833980416329	0.8882483927448435	1.6923944560563622	2007	2008
efficacies	0.6055127957463264	0.5946364834840041	0.880598523003546	1.4669215636245825	2007	2008
argue	0.1182736533880233	0.6303919083448499	0.7862410023272933	1.7055684725999314	2007	2008
compatible	0.1956842750310898	0.5927761517233295	0.6993612796472481	1.4556518588778564	2007	2008
polarized	0.250113228559494	0.6483056732658504	0.8237189234755167	1.8433782520350785	2007	2008
recover	0.3365657645463943	0.6547883406477867	0.9009095597170915	1.8967735385197924	2007	2008
waterborne	0.5554196998476982	0.6488028949617851	0.9071422248079823	1.847403881336627	2007	2008
0.81	0.2261885380744934	0.590653629797397	0.8486639638111805	1.4429189380745144	2007	2008
precipitated	0.4475821039080619	0.5960962738221095	0.8344030766412222	1.4758375206461252	2007	2008
declined	0.1610186070203781	0.6092262225302038	0.766986090357093	1.5590253431917966	2007	2008
represent	0.1246863037347793	0.6097847286631369	0.7125068651754665	1.562688017242475	2007	2008
adaptations	0.2818188309669495	0.6268306301319646	0.8516089238947443	1.6797483414933863	2007	2008
rescues	0.271050733923912	0.6253793536169026	0.9301420501023003	1.6693670240944818	2007	2008
protocols	0.2005697607994079	0.6296057637680887	0.8206340087261164	1.699826029079675	2007	2008
2.1	0.2730263888835907	0.6222380392217884	0.8244513452228661	1.6471696566269987	2007	2008
nearly	0.2230010569095611	0.5986873227559308	0.8047851671056726	1.4918226029321844	2007	2008
sarcoplasmic	0.4610382145643234	0.5627055409026347	0.8455641511762083	1.2867886368012404	2007	2008
intratumoral	0.3880991184711456	0.6651466542651618	0.9131579748913333	1.986381987032241	2007	2008
unresectable	0.2836190623044967	0.603132834909655	0.8979571824977356	1.5197347827259897	2007	2008
port	0.3743480086326599	0.6654708133535767	0.900536657771097	1.9892757939143237	2007	2008
underneath	0.9660901093416032	0.7230127577126235	0.9787404411682668	2.6102745806700067	2007	2008
0.01	0.3689519745111465	0.6082808749672424	0.7694070006957411	1.5528495702536216	2007	2008
opposite	0.2250112497806549	0.6665488999332475	0.8516194188616919	1.9989404737300707	2007	2008
rms	0.4387473607063293	0.6029447887157399	0.7961708252725509	1.518541430965073	2007	2008
registration	0.2892400193214416	0.6551424426755645	0.9325943760761705	1.899747964807449	2007	2008
atrial	0.3611634975671768	0.6973594129794539	0.9527006965553438	2.304249472434807	2007	2008
supplemental	0.5583287388086319	0.6202612868548257	0.8866121798612023	1.6333896581613465	2007	2008
achieves	0.3522677779197692	0.6579664823744857	0.8861522309006066	1.923690072663815	2007	2008
encompassed	0.7721111060678959	0.6399471407977688	0.8965109864070755	1.7773699734413975	2007	2008
labour	0.397899454832077	0.6957711199049242	0.9271520824330541	2.286998918996402	2007	2008
treated	0.1380963850021362	0.5997892878384153	0.845408416456971	1.498683742368822	2007	2008
synonymous	0.1799007296562194	0.5900128261936298	0.7436289146021976	1.439100693604339	2007	2008
