tok	original_global_distance	global_distance_qst	local_distance_qst	ratio_metric	year_1	year_2
resistive	1.103465144308284	0.639944018903905	0.8979303555211905	1.7773458920353573	2004	2005
seroconverted	0.8013558928470593	0.6206981754065299	0.8892606287844141	1.6364228568417378	2004	2005
provocative	0.6643345494568348	0.6734177159976478	0.920158512871976	2.0620154521082275	2004	2005
crypts	0.6273567892611027	0.6880191963150221	0.9573970756611774	2.20532541806562	2004	2005
localisation	0.5930888369679451	0.7572438748684267	0.9832385619739	3.119360528835276	2004	2005
gld	0.7411933588981628	0.704306322194456	0.9401247839983254	2.3818781903670816	2004	2005
medaka	0.8779391525033862	0.6201192947776898	0.8706478051451885	1.6324053479230785	2004	2005
rectifying	0.3178629046678543	0.6798754618799572	0.8926417417334473	2.1237842805571248	2004	2005
hampering	0.9989161418779986	0.68836284177957	0.9486223198615472	2.2088599630108003	2004	2005
p._vivax	0.4405241617560386	0.6593675278933742	0.9291949769304458	1.935715417310469	2004	2005
stents	0.5001049643754959	0.7212753384491335	0.960483058945468	2.587770075442365	2004	2005
d1	1.003695513816274	0.7310598121270899	0.9463299404554977	2.7182988823989307	2004	2005
lkm	0.563371986746788	0.659716099180949	0.9365096159451887	1.9387226301127858	2004	2005
106	0.2822106266021728	0.6947878584356484	0.9304132777594813	2.2764096306082173	2004	2005
vials	0.5869821825623512	0.7315594286084011	0.9404013598744788	2.7252193094955377	2004	2005
baroreflex	0.7022262218594552	0.7140066188318226	0.9658351620333325	2.4965844171475897	2004	2005
+4	0.6447828468680382	0.619265907436993	0.8077502780735093	1.6265050058119284	2004	2005
decayed	1.0111119819199663	0.7314239960261019	0.9681338313212065	2.7233408242129697	2004	2005
homogenized	1.1059809242351912	0.6960702301397044	0.9542179457516956	2.2902337946679583	2004	2005
caucasians	0.2698425555229187	0.6715610005291522	0.8913487016693437	2.0447054144334644	2004	2005
toxicity	0.2684468573331833	0.7463126775843139	0.9471232773801952	2.9418603597440445	2004	2005
52.2	0.5928928796201944	0.5928495869735968	0.8180704063094525	1.4560947699079239	2004	2005
accumulations	0.6277560852468014	0.6332120517467997	0.8872928565068942	1.7263709311127153	2004	2005
7.1	0.2848712891340256	0.5587845880565805	0.7301593531860191	1.2664666122955788	2004	2005
544	0.5431781184673309	0.6037249859538119	0.7946240210109657	1.5235000051843899	2004	2005
sed	0.5905917572975159	0.7000311158052127	0.8748410782462253	2.3336791003650954	2004	2005
expenditures	0.4343129175901413	0.6156548723364625	0.7730367523493517	1.6018282216274582	2004	2005
database	0.1227834373712539	0.7604939635943878	0.9702557594816494	3.1752601103817835	2004	2005
sheddase	0.6261887096613645	0.6519206327618943	0.8733694554203687	1.8729080035242196	2004	2005
polyproline	0.639915731549263	0.5319564983669816	0.7072892969152587	1.1365535393846269	2004	2005
ophthalmic	0.4439511466026306	0.6472482990944889	0.8382439068585559	1.834855218084015	2004	2005
sensitization	0.387173467874527	0.6828254021586931	0.9363833366602945	2.152837606813437	2004	2005
cisterns	0.5414691519737244	0.5622162167599873	0.7828698319484514	1.2842326241485176	2004	2005
anthropology	0.5183845028281212	0.5877246922479472	0.7550445705737794	1.425563649330684	2004	2005
party	0.4730175504088402	0.6300046062856934	0.903644189146123	1.702736350204819	2004	2005
pharmacies	0.3227145677804947	0.6136015452445891	0.7507521162354078	1.5880020680543279	2004	2005
arx	0.4916345134377479	0.6423625512328999	0.8479487417623256	1.7961277641570965	2004	2005
ccl3	0.4299145054817199	0.573602191113099	0.7867393516791281	1.3452278111148612	2004	2005
cyclophilins	0.5528079405426979	0.6052664546292911	0.83264902412965	1.5333544912197996	2004	2005
window	0.3604846209287643	0.5966082491558514	0.690073023576097	1.4789797954652582	2004	2005
tfs	0.5356646054983139	0.6451519672570096	0.8730179660010514	1.8181077749535697	2004	2005
biologist	0.6752073153853416	0.7032970710210901	0.8913347460306794	2.3703745475026343	2004	2005
industrialized	0.2925485759973526	0.6006637244652199	0.7562601988550336	1.504155172631957	2004	2005
37.3	0.6061179748177529	0.5859071035693976	0.7478772213579615	1.4149170599635952	2004	2005
