tok	original_global_distance	global_distance_qst	local_distance_qst	ratio_metric	year_1	year_2
poly(adp	0.205328516960144	0.48004822409571357	0.6350148959923353	0.9232552831670331	2016	2017
partners	0.1388616913557052	0.4677269200019107	0.5255800936191577	0.8787348779757745	2016	2017
permeation	0.2011386948823929	0.5125762509937728	0.6372930871866133	1.0516029472072856	2016	2017
137	0.2599706768989563	0.5529549757022583	0.6085601334463366	1.2369111513340054	2016	2017
sixty	0.1371572113037109	0.4501588364254197	0.4327613444090507	0.818707048957349	2016	2017
-0.4	0.2761847645044327	0.5292372881310227	0.5960251752954895	1.1242124212215006	2016	2017
vigorously	0.6432038789987564	0.5593507461254393	0.8426612266074743	1.2693786298448368	2016	2017
pdgf	0.2741578817367553	0.5203149853531859	0.660871836556459	1.0847013549845559	2016	2017
vesicular	0.2575998646020889	0.5366504221830843	0.6456078927970108	1.1581977148042901	2016	2017
normalised	0.5149123519659042	0.5466212702755515	0.8114438356425938	1.205661479989971	2016	2017
transgenesis	0.3121267157793045	0.555867388972676	0.6671910386516929	1.2515797650771423	2016	2017
efficacies	0.217588545680046	0.5504376402963088	0.7336442230072266	1.2243855127442276	2016	2017
argue	0.0664260256290435	0.49544915649760496	0.6746773122207401	0.9819608130240957	2016	2017
compatible	0.1410814118385314	0.5192501535346443	0.5792511257931378	1.0800838676337736	2016	2017
polarized	0.2182822877168655	0.49176505982492835	0.5948553884568031	0.9675939628541281	2016	2017
recover	0.1268755048513412	0.5391660410012441	0.6751273337876793	1.1699789706745543	2016	2017
waterborne	0.3014158302545547	0.552833776218129	0.7189356471380638	1.2363048611824556	2016	2017
0.81	0.2368750822544097	0.4980843999895726	0.49219281001932125	0.9923668441053132	2016	2017
precipitated	0.2542449456453323	0.548282237502228	0.6847962341789823	1.2137717022029486	2016	2017
declined	0.09525204539299	0.5245216092672265	0.6079067750200217	1.1031449998366294	2016	2017
represent	0.0500985556840896	0.4349438852667474	0.4473636791893436	0.7697357376126659	2016	2017
adaptations	0.1555958533287048	0.542121743524696	0.6976245341918017	1.1839866511633224	2016	2017
rescues	0.1303465509414672	0.520717506162669	0.6072422034664045	1.0864521714398376	2016	2017
protocols	0.1095759737491607	0.4772435407895601	0.512830767210532	0.9129366694203616	2016	2017
2.1	0.272588010430336	0.48433448520605804	0.4673726553318479	0.9392415651444064	2016	2017
nearly	0.1594647741317749	0.4272685263949901	0.38037180945543003	0.7460189392169849	2016	2017
sarcoplasmic	0.3179659003019333	0.4173652863986735	0.43863528856412254	0.7163412626393212	2016	2017
intratumoral	0.2123093497753143	0.5393284206145501	0.6700384717903627	1.170743854730589	2016	2017
unresectable	0.1650387328863143	0.5216255950521427	0.5715368008945936	1.0904128432811948	2016	2017
port	0.2299410182237625	0.524414291448346	0.6002565422741982	1.1026704167486325	2016	2017
underneath	0.3886695045232773	0.5515559981871002	0.6998098498678431	1.229932825408201	2016	2017
0.01	0.2110607373714447	0.4037335005990518	0.38980462855971904	0.6771024382632114	2016	2017
opposite	0.1259584283828735	0.4701822120578392	0.5046475641903798	0.887441348249274	2016	2017
rms	0.3540188074111938	0.5740609140615562	0.8588400542088438	1.3477535474274807	2016	2017
registration	0.1653916662931442	0.4570435119313461	0.5202275404219505	0.8417682115874365	2016	2017
atrial	0.159592598080635	0.46733533183116605	0.5280385519806826	0.877353726947474	2016	2017
supplemental	0.2491094124317169	0.5012706723308191	0.5927768710159326	1.005095639098497	2016	2017
achieves	0.1178683179616927	0.5239401731361979	0.654087738739554	1.100576321652308	2016	2017
encompassed	0.4098384207487106	0.5592941376266009	0.6273049148574766	1.269087129031029	2016	2017
labour	0.2361994725465774	0.4914566274125416	0.5930378535201218	0.9664006138001962	2016	2017
treated	0.0533099251985549	0.3993018575963561	0.4172639562818044	0.6647296360840784	2016	2017
synonymous	0.1727270346879959	0.4982992836655018	0.5075404746954333	0.9932201957098091	2016	2017
neurochemical	0.2145811039209365	0.5589033644834254	0.677721913718568	1.2670769157622013	2016	2017
looks	0.1991390007734298	0.556233442311613	0.5930016408152103	1.253437044037465	2016	2017
uses	0.0797694152593612	0.5055218479085813	0.5758662280991599	1.0223340420005473	2016	2017
overlying	0.2716605317592621	0.5773130678373519	0.7089700694337003	1.3658171661081884	2016	2017
was	0.0182387006282805	0.40146282973837866	0.450429722922099	0.6707400136283911	2016	2017
ryr1	0.4010603386163711	0.5611958080263256	0.6768086347438063	1.278920799507754	2016	2017
adoptively	0.270492901802063	0.47383439688561946	0.5666671045459057	0.9005423275124561	2016	2017
progestin	0.2817998206615448	0.5586819599744262	0.7464801809328967	1.2659395476832338	2016	2017
clue	0.3010963892936706	0.5643646909398752	0.63234476300929	1.2954980443561424	2016	2017
legs	0.1828247529268264	0.5357558387511349	0.579089456378284	1.1540389378509268	2016	2017
appearance	0.1532452619075775	0.5150155648491921	0.5724556657147968	1.0619218422732388	2016	2017
executed	0.2379660826921463	0.5335968176907083	0.6054639035781312	1.1440677035021978	2016	2017
postulated	0.1373663812875747	0.5143267258752157	0.5513519641721832	1.0589973821435135	2016	2017
ascending	0.2871625244617462	0.47434470849312643	0.5508304892846083	0.9023873937107012	2016	2017
burn	0.2252151638269424	0.478931265871243	0.5326996217684361	0.9191326105413538	2016	2017
founder	0.1819718867540359	0.5108973918654102	0.6517755702262248	1.0445607595795583	2016	2017
ihc	0.1457147389650344	0.5138649947110279	0.5528840169515697	1.0570417458532373	2016	2017
atrophy	0.1742975008487701	0.4957700936871276	0.5398102801824869	0.9832223108549704	2016	2017
micrograms	0.6339501291513443	0.5524662026697702	0.7019462607094415	1.2344681138397064	2016	2017
subset	0.0834821736812591	0.48135142357130783	0.5204810929297039	0.9280878140759492	2016	2017
allocation	0.1972909349203109	0.4861352456261739	0.5646049422694015	0.9460373405421777	2016	2017
proceeded	0.3535499048233032	0.5785041558642087	0.7068445277090788	1.3725026329745613	2016	2017
gastrocnemius	0.2616349321603775	0.5370854484605593	0.5295098832659183	1.160225891958808	2016	2017
hl-60	0.2343093091249466	0.5278225099279684	0.5386212295876557	1.1178476759818603	2016	2017
injecting	0.1679425424337387	0.5142468177318847	0.6877258802095656	1.0586586696781375	2016	2017
prove	0.1170128428936004	0.514493904101888	0.8051008117736789	1.059706373305474	2016	2017
homozygosity	0.2324985212087631	0.5119353982483887	0.5784288361452656	1.0489090919749304	2016	2017
50.0	0.2123479682207107	0.5259100848046224	0.6323471087908437	1.109304517873765	2016	2017
spots	0.2333785712718963	0.47433483494652684	0.5466180372741413	0.9023516612486112	2016	2017
pre	0.1451082777976989	0.40437681626062916	0.43195472591676604	0.6789138289109545	2016	2017
scavenging	0.1655042314529418	0.45720527793235366	0.44312446355607515	0.8423171032148946	2016	2017
disciplinary	0.2144757133722305	0.43978645407359257	0.4681992491362912	0.7850335952629129	2016	2017
70	0.1123870062828063	0.507147246649325	0.5135199819490445	1.0290035780493634	2016	2017
treat	0.1211542665958404	0.41707456226671463	0.4681683837646439	0.7154852666723819	2016	2017
justification	0.3514784580469131	0.5895938472696564	0.7274394712522383	1.436610643742097	2016	2017
but	0.0339741134643554	0.371020192598872	0.3911135829068217	0.589876158555685	2016	2017
neutropenia	0.1415146344900131	0.4919018304174522	0.567014861364703	0.9681236026132463	2016	2017
generally	0.1234237653017043	0.4720880455415455	0.5147804331534506	0.8942552665355443	2016	2017
reconstruction	0.1280895608663558	0.4501382631890025	0.48626126466898645	0.8186390015054409	2016	2017
valence	0.2080207461118698	0.5424305725077748	0.6370520367981006	1.1854606971463177	2016	2017
encouraged	0.1543600815534591	0.536089653214296	0.5873746784690779	1.1555889126610364	2016	2017
remission	0.1092268276214599	0.4372291830961768	0.5028618729070546	0.7769222745089476	2016	2017
concepts	0.1351120424270629	0.4860935122556941	0.51847750167574	0.945879306543314	2016	2017
fracture	0.1264122849702835	0.4484006213566031	0.48191235321810194	0.8129099464531653	2016	2017
egf	0.2816405802965164	0.5119664954306912	0.6204111121554857	1.0490396471498475	2016	2017
expense	0.1241167187690734	0.513473794535619	0.5157752240451995	1.0553877443158834	2016	2017
investigations	0.0969609653949737	0.45355778061220636	0.4749690618447581	0.8300196517032481	2016	2017
incorporates	0.1310661166906356	0.5605970952281369	0.5987502336813358	1.2758156333062876	2016	2017
9.6	0.2311664181947708	0.523725196744323	0.593360975326957	1.0996281834862751	2016	2017
uncovering	0.2209841990470886	0.5248225145162675	0.5493951926935905	1.104476812452501	2016	2017
11.9	0.2334612011909485	0.5414667380400333	0.6357354905360025	1.1808668704328529	2016	2017
attached	0.1320568686723709	0.5329527811131811	0.6436105522013253	1.1411111330101578	2016	2017
hindlimb	0.2256326425075531	0.5272620289161875	0.6166626238456279	1.1153367429051058	2016	2017
collecting	0.1879991698265075	0.5205448291892978	0.5980583041796526	1.0857007304960709	2016	2017
heritability	0.1550191432237625	0.4970120094801228	0.5475242622170247	0.9881190383222119	2016	2017
optimisation	0.3359465885162354	0.5591103295356948	0.6545624047596761	1.26814114049642	2016	2017
guinea_pig	0.2635389292240143	0.5488548777054415	0.6440587712023278	1.2165816509639378	2016	2017
hypothalamic	0.1729421639442444	0.5006382352368328	0.5285520577030071	1.0025562038660911	2016	2017
survivals	0.2689494442939758	0.5020593124724337	0.5422278055600427	1.0082713163395378	2016	2017
encephalopathy	0.1490945243835449	0.4871801366137236	0.6332270564684723	0.9500024694768114	2016	2017
