tok	changepoint_idx	start_idx	end_idx	value
species_2697049	2019-2020	2008-2009	2019-2020	1894.444406237822
gene_43740578	2019-2020	2016-2017	2019-2020	1616.9042682199624
lockdown	2019-2020	2012-2013	2019-2020	589.4945837683174
species_333278	2012-2013	2011-2012	2012-2013	533.3199545639372
typeset	2007-2008	2006-2007	2007-2008	453.52068045448016
pandemia	2019-2020	2014-2015	2019-2020	365.8871712202744
e.s.d	2010-2011	2009-2010	2010-2011	356.9400259305351
mdpi	2019-2020	2012-2013	2019-2020	338.19724574625167
slmta	2013-2014	2012-2013	2013-2014	235.42874421518005
disease_mesh_d045169	2002-2003	2001-2002	2002-2003	226.8748583354668
gene_115004	2012-2013	2011-2012	2012-2013	214.19328805694997
h15b	2010-2011	2009-2010	2010-2011	177.75906748617473
109.5	2010-2011	2004-2005	2010-2011	175.1001905543119
sars-	2019-2020	2014-2015	2019-2020	159.312097762637
ffp2	2019-2020	2018-2019	2019-2020	146.8206438803705
ibsp	2017-2018	2016-2017	2017-2018	140.50248252825577
program(s	2006-2007	2005-2006	2006-2007	131.27933129861646
h16b	2010-2011	2008-2009	2010-2011	128.5690258508573
citable	2007-2008	2005-2006	2007-2008	123.12346567428355
h7b	2010-2011	2009-2010	2010-2011	115.97946720094242
h15a	2010-2011	2009-2010	2010-2011	113.374904298872
h9b	2010-2011	2008-2009	2010-2011	112.78939916231278
chemical_mesh_c577929	2018-2019	2016-2017	2018-2019	111.81665610297499
gene_17909	2016-2017	2015-2016	2016-2017	110.54868218454985
h20b	2010-2011	2009-2010	2010-2011	108.92190130385416
species_71109	2020-2021	2018-2019	2020-2021	107.02936352034142
gene_15151838	2012-2013	2010-2011	2012-2013	106.9637379810667
chemical_mesh_c000613732	2018-2019	2017-2018	2018-2019	105.32245070255763
disease_mesh_c000657245	2019-2020	2006-2007	2019-2020	104.13193430382641
gene_23608	2014-2015	2012-2013	2014-2015	103.70974015466693
gene_855911	2010-2011	2009-2010	2010-2011	103.6510289562518
h13b	2010-2011	2009-2010	2010-2011	103.4309651933354
h11b	2010-2011	2009-2010	2010-2011	103.21674173243375
rep.	2014-2015	2011-2012	2014-2015	102.43847589204775
10.1038	2014-2015	2011-2012	2014-2015	100.65112084199637
gs-441524	2019-2020	2018-2019	2019-2020	99.62800937774782
fo2	2010-2011	2009-2010	2010-2011	96.12930696423865
h10b	2010-2011	2009-2010	2010-2011	95.91922362716689
gene_818025	2015-2016	2012-2013	2015-2016	95.0927406768179
spa47	2017-2018	2016-2017	2017-2018	93.50310210352492
thetamin	2010-2011	2007-2008	2010-2011	92.82422784211133
pregaming	2015-2016	2014-2015	2015-2016	89.69555846249614
gene_26818	2010-2011	2006-2007	2010-2011	89.06281843051119
zr3	2010-2011	2004-2005	2010-2011	88.69858732427645
chto	2019-2020	2018-2019	2019-2020	88.60692167370293
gene_855449	2009-2010	2007-2008	2009-2010	87.77486930572617
iucr	2006-2007	2000-2001	2006-2007	87.77008840136267
c22a	2010-2011	2009-2010	2010-2011	86.50844080643907
h12b	2010-2011	2009-2010	2010-2011	85.87353355629344
chme2	2019-2020	2018-2019	2019-2020	85.81093641252579
gene_819306	2007-2008	2004-2005	2007-2008	85.48831533357226
gene_547253	2012-2013	2011-2012	2012-2013	84.63344223476452
-0.0015	2010-2011	2008-2009	2010-2011	84.064535918283
ghsi	2019-2020	2013-2014	2019-2020	83.69577245562847
bechyne	2018-2019	2013-2014	2018-2019	83.1061502967482
species_2673	2018-2019	2015-2016	2018-2019	83.05137186584753
-0.0022	2010-2011	2009-2010	2010-2011	81.8006880936386
dy1	2010-2011	2009-2010	2010-2011	81.68956294808218
gene_55658	2015-2016	2014-2015	2015-2016	80.48561622088131
gene_837654	2010-2011	2009-2010	2010-2011	80.44373884887983
gene_100885775	2013-2014	2012-2013	2013-2014	79.31797599761018
vitt	2020-2021	2013-2014	2020-2021	79.28216097992674
h9a	2010-2011	2009-2010	2010-2011	79.26604448191917
species_4447	2018-2019	2015-2016	2018-2019	79.09395006390962
gene_834904	2012-2013	2011-2012	2012-2013	78.91420154707596
gene_145581	2017-2018	2016-2017	2017-2018	78.60351092976892
gene_15239	2014-2015	2013-2014	2014-2015	78.37912917977408
h21a	2010-2011	2009-2010	2010-2011	78.33506612017969
6552	2012-2013	2011-2012	2012-2013	78.28590013703415
casent	2019-2020	2013-2014	2019-2020	77.79489783394938
foveolate	2019-2020	2018-2019	2019-2020	77.68868663403917
gene_79848	2013-2014	2010-2011	2013-2014	77.31258546617921
gene_41612	2013-2014	2012-2013	2013-2014	76.70271496106473
017	2016-2017	2000-2001	2016-2017	76.45494217445308
ace-2	2019-2020	2013-2014	2019-2020	75.25202795327836
gene_35223	2008-2009	2007-2008	2008-2009	74.9914847979349
h8b	2010-2011	2009-2010	2010-2011	74.42675963377513
gene_29876	2013-2014	2012-2013	2013-2014	74.41353570217831
zr1	2010-2011	2008-2009	2010-2011	74.30605544555881
biohaz	2016-2017	2015-2016	2016-2017	74.29299859771665
gene_57669	2015-2016	2009-2010	2015-2016	74.2915893886184
avahan	2009-2010	2006-2007	2009-2010	73.34763361912916
gene_245666	2018-2019	2017-2018	2018-2019	72.5115681479991
wuqinxi	2017-2018	2015-2016	2017-2018	72.32902610579984
l.s	2010-2011	2006-2007	2010-2011	72.29227601067157
