average_global_distance	var_global_distance	tok	year1	year2
0.2633043467998505	0.0017127428843933146	privacy	2000	2001
0.41752925038337707	0.0018646647778531242	lcs	2000	2001
0.26298692643642424	0.0016376624786320424	regular	2000	2001
0.16452858865261075	0.00013712179768426264	0.01	2000	2001
0.8068995544046629	0.013995444604922032	0.29	2000	2001
0.5341122883558274	0.006138895071904579	fiberoptic	2000	2001
0.643011927716434	0.0148902527395268	circumvent	2000	2001
0.335973464846611	0.004699006842764864	suppliers	2000	2001
1.0194944650190882	0.016551906052486336	38.2	2000	2001
0.7783614816074259	0.01547374188110041	remnant	2000	2001
0.2063760155439377	0.0006332728770761872	testosterone	2000	2001
0.389052092730999	0.002818657703593219	persist	2000	2001
0.5843968892097473	0.006391156305195034	192	2000	2001
1.058986746245646	0.022290615399103163	thermosensitive	2000	2001
0.5154752713441849	0.00866032145650324	warfare	2000	2001
0.6004943563044072	0.008633746656652863	isotopic	2000	2001
0.2980904996395111	0.0033873129688958064	eighteen	2000	2001
0.17062729477882385	0.0006930758394957322	workshop	2000	2001
0.8027250381698832	0.023674836870645165	multicolor	2000	2001
0.1221607398986816	0.0001686371531512008	calcium	2000	2001
0.6412821555137634	0.011951960664444901	l929	2000	2001
0.7473369635641575	0.00794348183516211	resorbed	2000	2001
0.3020054489374161	0.0013635235025251102	matrigel	2000	2001
1.0921018375339917	0.009712771109792575	unfamiliar	2000	2001
0.4808297270536423	0.0031185387085181093	haematopoietic	2000	2001
0.2956706404685974	0.0025840767288619316	atherosclerosis	2000	2001
0.11070238232612606	0.0001918638921044347	mediating	2000	2001
0.5184333692491054	0.00643167279752303	isogenic	2000	2001
0.9264997935877182	0.01960729743999994	appraise	2000	2001
0.1129105186462402	0.00010106605507898227	cohort	2000	2001
0.4425135096907616	0.009385527421040304	linoleic	2000	2001
0.4297730913758278	0.0058467640181982285	benefited	2000	2001
0.27690924823284147	0.0015004518586692129	hpv_16	2000	2001
0.18123067796230316	0.0005581159628426385	impacts	2000	2001
0.2907111871242523	0.0013426740296204388	neurotoxic	2000	2001
0.434923098385334	0.005403508065650435	paramyxoviridae	2000	2001
0.3716819018125534	0.002244441606545448	threefold	2000	2001
0.24414695382118226	0.0007945235664265044	reducing	2000	2001
0.29112695038318637	0.003203446245846625	gld	2000	2001
0.25177720963954925	0.0011833877939976857	nascent	2000	2001
0.3608977052569389	0.004112464711855041	confidentiality	2000	2001
0.7680769485235214	0.00695365279571876	271	2000	2001
0.5248069721460342	0.005509559353707624	sca-1	2000	2001
0.527256136238575	0.007666013878393463	502	2000	2001
0.6587260016798973	0.005827658444874611	o1	2000	2001
0.2746898126602173	0.0011439115393913032	optimize	2000	2001
0.27672721445560455	0.0006077279143196091	aorta	2000	2001
0.4398107320070267	0.005485962718403128	-mutant	2000	2001
0.580993557870388	0.007637508231142368	dominantly	2000	2001
0.5924446287751198	0.008326286337157521	pnet	2000	2001
0.447910021841526	0.00818868501987079	19.0	2000	2001
0.46455045849084853	0.006921951938327628	triiodothyronine	2000	2001
1.0543793802405708	0.009383587627578297	-labelling	2000	2001
0.6278843611478806	0.007820399898302051	encasement	2000	2001
0.464743515253067	0.00047445946603339264	frozen	2000	2001
0.3582685351371765	0.003400613838226079	furnace	2000	2001
0.647387180775404	0.00961316809215683	realize	2000	2001
0.07478308141231532	6.464962633153664e-05	12	2000	2001
0.4484749063849449	0.00245910909662199	lns	2000	2001
0.38496090590953824	0.010491511408380054	septin	2000	2001
0.5544746506214142	0.003031260775447072	nearest	2000	2001
0.5184706291556358	0.005570227267264506	antidepressant	2000	2001
0.5365620723366737	0.010647199938218855	doublets	2000	2001
0.42458165645599366	0.0036300150656157176	mycobacterium_tuberculosis	2000	2001
0.21174648702144622	0.00044713276063364845	0.001	2000	2001
0.388338628411293	0.002239335085600187	rgd	2000	2001
0.9557343086338369	0.009863177463575346	16.4	2000	2001
0.9944400729972404	0.01087461459332852	firmly	2000	2001
0.5820865173637867	0.004981497699306053	suburban	2000	2001
0.3532286238670349	0.008009899830077685	translocase	2000	2001
0.3930858555436134	0.0027565003172590765	precisely	2000	2001
0.637930444329977	0.005678542392633822	gh	2000	2001
0.5934383314847946	0.0027353931738417197	opg	2000	2001
0.3895474219322205	0.0038442750536748973	pp	2000	2001
0.1579585999250412	0.0005214810741572772	measure	2000	2001
0.38829709649085997	0.002986373221602861	bc	2000	2001
0.06937577724456782	7.449666195093128e-05	implications	2000	2001
0.2693805706501007	0.0021070771731923794	amantadine	2000	2001
0.3840230742096901	0.00513297806283114	ionomycin	2000	2001
0.6307780003547668	0.0051052358341239215	pi3-k	2000	2001
0.35994128823280336	0.007985424564013436	gloves	2000	2001
0.10672428905963895	0.0001835823812990878	government	2000	2001
