average_global_distance	average_local_distance	var_global_distance	var_local_distance	tok	year1	year2
0.6761177965998649	0.26557215213775637	0.00024865526572873716	0.0010899132677180403	united	2000	2012
0.6955230563879014	0.49288147121667863	0.0005103070882631311	0.002520364263292048	combining	2000	2012
0.7260368123650551	0.26531730830669403	0.0011971914134774255	0.0014373793147487604	purinergic	2000	2012
0.8663379889447242	0.6992075495049357	0.003200477664577614	0.015880183788699164	polygraph	2000	2012
0.9339913700986654	0.7340548594295978	0.0011585361468192795	0.007812377861458992	lecturer	2000	2012
0.7457001253962516	0.37834527432918547	0.0015804774130454312	0.006519046094331309	bombesin	2000	2012
0.6283838668465614	0.17667201519012452	0.0025409141345345905	0.0014701618161741211	2.28	2000	2012
0.9216174461803166	0.7945471200533212	0.0019142786540194765	0.0055259426772607334	interspecies	2000	2012
0.9115060733142308	0.5723881308268756	0.0036691246044290972	0.02482847336210666	receptor_activator_of_nuclear_factor_kappa_b_ligand	2000	2012
0.8584263341501355	0.7524382879957556	0.0015914237897109434	0.008508125923740076	lifecycle	2000	2012
0.7689416455477476	0.37299610644578934	0.0015278764196321535	0.0073513523893239275	11q23	2000	2012
0.7155373384058475	0.18207424998283386	0.0017493773762450237	0.001747150401590572	pgs	2000	2012
0.8371079806238413	0.3998041269183159	0.0012083058610518318	0.0044675960569762	decomposition	2000	2012
0.8332803744077683	0.5081247624754905	0.003732645382373602	0.014798273341613379	60.0	2000	2012
0.8864529941044748	0.6704633895400911	0.0017834522503793729	0.019012665342466647	kdel	2000	2012
0.7859637722373009	0.3969177913665771	0.00027106034421977345	0.000784887593129716	dr	2000	2012
0.7771676209568977	0.34028765112161635	0.000997459017188215	0.0035504330142807267	20-fold	2000	2012
0.8068826368451119	0.4770302200317383	0.0008931463103816562	0.0064365607872472405	svi	2000	2012
0.6498794311285019	0.23737556338310242	0.0010257389477952006	0.000904251255222697	msh3	2000	2012
0.783472704142332	0.5045799934864044	0.0005117855912558439	0.0015757850290693957	ix	2000	2012
