average_global_distance	average_local_distance	var_global_distance	var_local_distance	tok	year
0.19198907083935204	0.009730847676595005	0.0015959394204279951	2.807203476805858e-05	ov-3	2002
0.06496481100718177	0.0005947921011182534	0.00018849830972098082	9.051477701966514e-08	lv	2002
0.32940208514531455	0.07468056811226735	0.005134685235438877	0.00729089583534951	else	2002
0.3374600734975603	0.04212249782350323	0.007361024318556465	0.0014945642229095724	-tki	2002
0.26721909443537395	0.03442684147093027	0.0038251446185116993	0.0003512225596216398	pals	2002
0.05473129087024261	0.00064093801710336	0.0002360707902185643	1.9604491066861125e-07	dairy	2002
0.12216522031360198	0.006201485792795772	0.0003972033183016025	1.0712259166546637e-05	sf	2002
0.3689742167790731	0.08905680047141178	0.008498974358384611	0.00483009349557166	contusion	2002
0.13420397043228147	0.005343964364793513	0.0012944260887680218	1.1957609375668258e-05	copia	2002
0.24348406261867947	0.03684579663806488	0.0027392454312908433	0.0005035112732500475	bilharzia	2002
0.2052492446369595	0.009174843629201207	0.003875759537633539	6.992451932429975e-05	garden	2002
0.05160635842217334	0.0010373314221699603	7.833195557201414e-05	1.5960260709687882e-07	dye	2002
0.043736150529649485	0.00026041931576195067	7.067595851234172e-05	2.157860232775821e-08	netherlands	2002
0.24076988961961535	0.021941859192318343	0.002443094733814879	0.0002483217097911505	double-	2002
0.20847021208869082	0.013228472073872833	0.002024586365342709	0.00011665034285632213	~110	2002
0.2439670933617486	0.038521716329786466	0.00496697051143673	0.0014931152398124376	secretases	2002
0.03471859693527217	0.0004675851927862689	4.3974418627183465e-05	3.8171671356837395e-08	addressed	2002
0.2971240652932061	0.07061745855543344	0.003615443184884474	0.0027345459862830926	localises	2002
0.21348603831397162	0.02983649704191416	0.001917699175934124	0.00022714349067901005	diploidy	2002
0.03433375755945837	0.00039321316613086666	3.8892951361207125e-05	2.842739700745327e-08	threonine	2002
0.14982399940490718	0.005359224478403685	0.0010402791582403536	9.548366553499665e-06	reactant	2002
0.15565413766437103	0.0052705513106451485	0.0012938558143177543	1.2047331386164373e-05	effortful	2002
0.12536286645465422	0.0023157397905985023	0.0010498669224203831	3.3700707938856513e-06	fh	2002
0.07743777301576399	0.0011003017425536598	0.0003325475743104858	2.8679795573478165e-07	residing	2002
0.17122021913528437	0.006350602043999509	0.0017096691155501912	1.0101897595482032e-05	mkk6	2002
0.10251206424501204	0.0036389337645636117	0.0004289416017966857	8.201451939317041e-06	preceding	2002
0.14665278593699133	0.007841253280639605	0.0011310247873653155	1.687808701869173e-05	necrotic	2002
0.22199760145611233	0.017347856362660688	0.0017847668497267333	0.00010734820486823712	clarithromycin	2002
0.06956593990325925	0.002450838353898742	0.0004331226360491139	8.092382458698219e-06	digested	2002
0.289235003789266	0.03186151319079925	0.005197731631665603	0.000662416946183085	proinsulin	2002
0.17913472387525767	0.008528600798712779	0.001486903958811871	1.6323246905106985e-05	rp	2002
0.20109747648239135	0.006753042009141669	0.00220573556126968	2.0022919324332344e-05	gh50	2002
