disease	gene	class	score
MESH:D019337	25	1	0.09905391931533813
MESH:D019337	27	1	0.17421048879623413
MESH:D019337	54	1	0.18123333156108856
MESH:D019337	113	1	0.14260530471801758
MESH:D019337	142	1	0.18671461939811707
MESH:D019337	207	1	0.19669640064239502
MESH:D019337	213	1	0.1253695785999298
MESH:D019337	238	1	0.2505597770214081
MESH:D019337	240	1	0.007921213284134865
MESH:D019337	249	1	0.18873097002506256
MESH:D019337	250	1	0.03604188561439514
MESH:D019337	251	1	0.1949257254600525
MESH:D019337	290	1	0.05381670966744423
MESH:D019337	302	1	0.21927671134471893
MESH:D019337	307	1	0.2298533320426941
MESH:D019337	308	1	0.18506328761577606
MESH:D019337	309	1	0.22010985016822815
MESH:D019337	329	1	0.18815448880195618
MESH:D019337	330	1	0.039413534104824066
MESH:D019337	331	1	0.2157863974571228
MESH:D019337	332	1	0.1543036252260208
MESH:D019337	355	1	0.13088569045066833
MESH:D019337	356	1	0.20579133927822113
MESH:D019337	366	1	0.09409623593091965
MESH:D019337	367	1	0.21493349969387054
MESH:D019337	406	1	0.17993904650211334
MESH:D019337	440	1	0.021650586277246475
MESH:D019337	472	1	0.2999081611633301
MESH:D019337	481	1	0.1892295628786087
MESH:D019337	495	1	0.07805787026882172
MESH:D019337	545	1	0.06864859908819199
MESH:D019337	572	1	0.2658305764198303
MESH:D019337	578	1	0.13134218752384186
MESH:D019337	581	1	0.22614546120166779
MESH:D019337	595	1	0.09923743456602097
MESH:D019337	596	1	0.24018199741840363
MESH:D019337	598	1	0.16602525115013123
MESH:D019337	602	1	0.2006729692220688
MESH:D019337	604	1	0.16636762022972107
MESH:D019337	613	1	0.20243076980113983
MESH:D019337	639	1	0.1494971364736557
MESH:D019337	643	1	0.1569497436285019
MESH:D019337	648	1	0.18961583077907562
MESH:D019337	654	1	0.14560385048389435
MESH:D019337	664	1	0.1096087247133255
MESH:D019337	673	1	0.22825951874256134
MESH:D019337	694	1	0.1637827754020691
MESH:D019337	695	1	0.07896865159273148
MESH:D019337	768	1	0.16682642698287964
MESH:D019337	811	1	0.22846545279026031
MESH:D019337	817	1	0.23579908907413483
MESH:D019337	822	1	0.21563799679279327
MESH:D019337	824	1	0.20827609300613403
MESH:D019337	836	1	0.13926178216934204
MESH:D019337	840	1	0.13208968937397003
MESH:D019337	841	1	0.2678426504135132
MESH:D019337	861	1	0.2612685561180115
MESH:D019337	862	1	0.11983612179756165
MESH:D019337	863	1	0.17740783095359802
MESH:D019337	864	1	0.24437648057937622
MESH:D019337	865	1	0.29867660999298096
MESH:D019337	867	1	0.24647165834903717
MESH:D019337	871	1	0.2974991500377655
MESH:D019337	894	1	0.16753271222114563
MESH:D019337	896	1	0.0673813596367836
MESH:D019337	914	1	0.2928723692893982
MESH:D019337	920	1	0.08121924847364426
MESH:D019337	921	1	0.09203208982944489
MESH:D019337	924	1	0.13876786828041077
MESH:D019337	925	1	0.24590075016021729
MESH:D019337	928	1	-0.021411212161183357
MESH:D019337	933	1	0.18468420207500458
MESH:D019337	939	1	0.21651184558868408
MESH:D019337	941	1	0.11467166990041733
MESH:D019337	942	1	0.12909749150276184
MESH:D019337	943	1	0.22183077037334442
