disease	gene	class	dummy_score
MESH:D019337	25	1	0
MESH:D019337	27	1	1
MESH:D019337	54	1	1
MESH:D019337	113	1	0
MESH:D019337	142	1	1
MESH:D019337	207	1	1
MESH:D019337	213	1	1
MESH:D019337	238	1	1
MESH:D019337	240	1	1
MESH:D019337	249	1	1
MESH:D019337	250	1	1
MESH:D019337	251	1	0
MESH:D019337	290	1	0
MESH:D019337	302	1	1
MESH:D019337	307	1	0
MESH:D019337	308	1	0
MESH:D019337	309	1	0
MESH:D019337	329	1	0
MESH:D019337	330	1	0
MESH:D019337	331	1	1
MESH:D019337	332	1	0
MESH:D019337	355	1	1
MESH:D019337	356	1	1
MESH:D019337	366	1	0
MESH:D019337	367	1	0
MESH:D019337	406	1	1
MESH:D019337	440	1	1
MESH:D019337	472	1	1
MESH:D019337	481	1	1
MESH:D019337	495	1	0
MESH:D019337	545	1	1
MESH:D019337	572	1	0
MESH:D019337	578	1	1
MESH:D019337	581	1	0
MESH:D019337	595	1	1
MESH:D019337	596	1	1
MESH:D019337	598	1	0
MESH:D019337	602	1	1
MESH:D019337	604	1	1
MESH:D019337	613	1	0
MESH:D019337	639	1	0
MESH:D019337	643	1	1
MESH:D019337	648	1	0
MESH:D019337	654	1	1
MESH:D019337	664	1	1
MESH:D019337	673	1	1
MESH:D019337	694	1	1
MESH:D019337	695	1	1
MESH:D019337	768	1	0
MESH:D019337	811	1	1
MESH:D019337	817	1	0
MESH:D019337	822	1	1
MESH:D019337	824	1	1
MESH:D019337	836	1	1
MESH:D019337	840	1	1
MESH:D019337	841	1	0
MESH:D019337	861	1	1
MESH:D019337	862	1	0
MESH:D019337	863	1	0
MESH:D019337	864	1	1
MESH:D019337	865	1	1
MESH:D019337	867	1	0
MESH:D019337	871	1	1
MESH:D019337	894	1	0
MESH:D019337	896	1	1
MESH:D019337	914	1	0
MESH:D019337	920	1	0
MESH:D019337	921	1	0
MESH:D019337	924	1	0
MESH:D019337	925	1	0
MESH:D019337	928	1	1
MESH:D019337	933	1	1
MESH:D019337	939	1	0
MESH:D019337	941	1	0
MESH:D019337	942	1	0
MESH:D019337	943	1	1
MESH:D019337	944	1	1
MESH:D019337	945	1	0
MESH:D019337	947	1	1
MESH:D019337	951	1	0
MESH:D019337	952	1	0
MESH:D019337	958	1	1
MESH:D019337	959	1	0
MESH:D019337	960	1	1
MESH:D019337	965	1	1
MESH:D019337	968	1	1
MESH:D019337	972	1	1
MESH:D019337	973	1	1
MESH:D019337	974	1	1
MESH:D019337	978	1	0
MESH:D019337	1017	1	1
MESH:D019337	1019	1	1
MESH:D019337	1021	1	0
MESH:D019337	1026	1	0
MESH:D019337	1027	1	1
MESH:D019337	1029	1	0
MESH:D019337	1030	1	0
MESH:D019337	1043	1	1
MESH:D019337	1046	1	1
MESH:D019337	1050	1	0
MESH:D019337	1052	1	1
MESH:D019337	1053	1	0
MESH:D019337	1215	1	0
MESH:D019337	1236	1	1
MESH:D019337	1269	1	0
MESH:D019337	1378	1	0
MESH:D019337	1380	1	0
MESH:D019337	1381	1	1
MESH:D019337	1385	1	1
MESH:D019337	1387	1	0
MESH:D019337	1399	1	1
MESH:D019337	1401	1	0
MESH:D019337	1407	1	0
MESH:D019337	1408	1	0
MESH:D019337	1432	1	0
MESH:D019337	1435	1	0
MESH:D019337	1436	1	1
MESH:D019337	1437	1	0
MESH:D019337	1440	1	1
MESH:D019337	1471	1	0
MESH:D019337	1495	1	1
MESH:D019337	1512	1	1
MESH:D019337	1522	1	1
MESH:D019337	1612	1	1
MESH:D019337	1633	1	1
MESH:D019337	1728	1	0
MESH:D019337	1788	1	1
MESH:D019337	1789	1	1
MESH:D019337	1791	1	1
MESH:D019337	1847	1	1
MESH:D019337	1879	1	0
MESH:D019337	1902	1	1
MESH:D019337	1978	1	1
MESH:D019337	2026	1	0
MESH:D019337	2033	1	0
MESH:D019337	2052	1	1
MESH:D019337	2056	1	0
MESH:D019337	2078	1	0
MESH:D019337	2099	1	0
MESH:D019337	2120	1	0
MESH:D019337	2122	1	1
MESH:D019337	2125	1	1
MESH:D019337	2146	1	0
MESH:D019337	2152	1	0
MESH:D019337	2246	1	1
MESH:D019337	2247	1	0
MESH:D019337	2261	1	1
MESH:D019337	2268	1	1
MESH:D019337	2274	1	1
MESH:D019337	2305	1	1
MESH:D019337	2308	1	0
MESH:D019337	2322	1	0
MESH:D019337	2335	1	0
MESH:D019337	2353	1	1
MESH:D019337	2475	1	0
MESH:D019337	2524	1	1
MESH:D019337	2526	1	1
MESH:D019337	2623	1	1
MESH:D019337	2624	1	0
MESH:D019337	2625	1	1
MESH:D019337	2629	1	0
MESH:D019337	2650	1	0
MESH:D019337	2651	1	1
MESH:D019337	2672	1	0
MESH:D019337	2706	1	1
MESH:D019337	2707	1	1
MESH:D019337	2838	1	0
MESH:D019337	2885	1	0
MESH:D019337	2908	1	1
MESH:D019337	2944	1	0
MESH:D019337	2950	1	1
MESH:D019337	2952	1	0
MESH:D019337	2969	1	1
MESH:D019337	2993	1	0
MESH:D019337	3002	1	1
MESH:D019337	3005	1	0
MESH:D019337	3006	1	1
MESH:D019337	3020	1	0
MESH:D019337	3021	1	0
MESH:D019337	3050	1	0
MESH:D019337	3066	1	1
MESH:D019337	3067	1	0
MESH:D019337	3082	1	1
MESH:D019337	3105	1	0
MESH:D019337	3106	1	1
MESH:D019337	3110	1	0
MESH:D019337	3117	1	0
MESH:D019337	3161	1	0
MESH:D019337	3195	1	0
MESH:D019337	3205	1	0
MESH:D019337	3240	1	1
MESH:D019337	3265	1	0
MESH:D019337	3280	1	0
MESH:D019337	3308	1	1
MESH:D019337	3309	1	0
MESH:D019337	3315	1	0
MESH:D019337	3320	1	0
MESH:D019337	3383	1	1
MESH:D019337	3394	1	0
MESH:D019337	3398	1	0
MESH:D019337	3399	1	1
MESH:D019337	3417	1	0
MESH:D019337	3418	1	1
MESH:D019337	3439	1	0
MESH:D019337	3440	1	0
MESH:D019337	3458	1	1
MESH:D019337	3553	1	1
MESH:D019337	3558	1	0
MESH:D019337	3559	1	0
MESH:D019337	3562	1	0
MESH:D019337	3563	1	1
MESH:D019337	3565	1	1
MESH:D019337	3569	1	0
MESH:D019337	3570	1	0
MESH:D019337	3574	1	0
MESH:D019337	3586	1	0
MESH:D019337	3596	1	0
MESH:D019337	3600	1	1
MESH:D019337	3662	1	0
MESH:D019337	3676	1	1
MESH:D019337	3681	1	0
MESH:D019337	3682	1	0
MESH:D019337	3683	1	0
MESH:D019337	3687	1	1
MESH:D019337	3713	1	1
MESH:D019337	3716	1	1
MESH:D019337	3717	1	0
MESH:D019337	3718	1	0
MESH:D019337	3725	1	1
MESH:D019337	3727	1	1
MESH:D019337	3812	1	1
MESH:D019337	3815	1	1
MESH:D019337	3845	1	0
MESH:D019337	3932	1	0
MESH:D019337	3981	1	0
MESH:D019337	4004	1	1
MESH:D019337	4005	1	1
MESH:D019337	4026	1	0
MESH:D019337	4066	1	1
MESH:D019337	4068	1	0
MESH:D019337	4069	1	0
MESH:D019337	4094	1	1
MESH:D019337	4170	1	0
MESH:D019337	4193	1	1
MESH:D019337	4211	1	1
MESH:D019337	4233	1	1
MESH:D019337	4254	1	1
MESH:D019337	4255	1	0
MESH:D019337	4267	1	0
MESH:D019337	4291	1	0
