tok	changepoint_idx	start_idx	end_idx	value
lockdown	2019-2020	2018-2019	2019-2020	1571.7343148989107
distancing	2019-2020	2018-2019	2019-2020	951.7361261204992
disease_mesh_d045169	2019-2020	2017-2018	2019-2020	341.784166562535
species_227859	2019-2020	2017-2018	2019-2020	281.4943361801021
hcq	2019-2020	2018-2019	2019-2020	225.01363812154176
2020	2019-2020	2016-2017	2019-2020	218.66548144516312
ace2	2019-2020	2018-2019	2019-2020	201.78931320005742
pangolin	2019-2020	2017-2018	2019-2020	189.11769239442745
2019	2018-2019	2017-2018	2018-2019	168.5611577965136
hydroxychloroquine	2019-2020	2018-2019	2019-2020	160.900512949314
coronavirus	2019-2020	2017-2018	2019-2020	149.67439990436597
omicron	2020-2021	2019-2020	2020-2021	142.9604161423726
coronaviruse	2019-2020	2016-2017	2019-2020	130.93856174041701
gedi	2020-2021	2019-2020	2020-2021	123.1884388164185
musc	2018-2019	2017-2018	2018-2019	122.52413636932637
regen	2020-2021	2019-2020	2020-2021	110.55773339692038
wuhan	2019-2020	2018-2019	2019-2020	105.21171573497125
disease_mesh_d018352	2019-2020	2017-2018	2019-2020	89.26143634829799
paretic	2018-2019	2017-2018	2018-2019	87.5357760871954
ftsz1	2019-2020	2018-2019	2019-2020	87.39016350207798
quarantine	2019-2020	2016-2017	2019-2020	86.76303435971941
gene_92521	2018-2019	2017-2018	2018-2019	85.85958507714744
species_624	2018-2019	2016-2017	2018-2019	81.54689466677135
fio2	2019-2020	2018-2019	2019-2020	80.23710218730093
gisaid	2019-2020	2015-2016	2019-2020	77.9585308412827
cfdna	2016-2017	2015-2016	2016-2017	77.8218338952843
brafi	2018-2019	2017-2018	2018-2019	76.8285050624956
cobl	2020-2021	2019-2020	2020-2021	76.32973287765925
-cov	2019-2020	2017-2018	2019-2020	75.50214301548468
r6/1	2019-2020	2018-2019	2019-2020	74.5977838263915
disease_mesh_d059390	2020-2021	2019-2020	2020-2021	74.00739087858652
sanitizer	2019-2020	2018-2019	2019-2020	71.82514467162758
gene_1200	2018-2019	2017-2018	2018-2019	71.55017032402651
gene_340061	2018-2019	2017-2018	2018-2019	70.75533379889853
vha	2019-2020	2018-2019	2019-2020	68.56016462511472
pbaf	2018-2019	2017-2018	2018-2019	68.39709002528237
gene_6788	2020-2021	2019-2020	2020-2021	68.05861444537207
ibpa	2019-2020	2018-2019	2019-2020	67.57146936268055
u8	2018-2019	2017-2018	2018-2019	67.13764318506654
sdhc	2018-2019	2017-2018	2018-2019	66.34522528989815
crib	2018-2019	2017-2018	2018-2019	66.1257587307113
hubei	2019-2020	2017-2018	2019-2020	65.68608213071764
pogz	2020-2021	2018-2019	2020-2021	64.81480586592569
gene_8337	2018-2019	2017-2018	2018-2019	64.57888019805613
bod	2018-2019	2016-2017	2018-2019	64.49691589842264
grb	2018-2019	2017-2018	2018-2019	64.37236632345451
gene_36495	2018-2019	2017-2018	2018-2019	63.885747630541935
gene_7078	2020-2021	2019-2020	2020-2021	63.88452379060564
nrc4	2020-2021	2019-2020	2020-2021	63.75604871283112
fan1	2020-2021	2019-2020	2020-2021	62.29167651778309
spl7	2020-2021	2019-2020	2020-2021	61.054090563775375
mentee	2020-2021	2019-2020	2020-2021	60.74356520898158
gene_284111	2019-2020	2018-2019	2019-2020	60.61522123458414
ras1	2018-2019	2017-2018	2018-2019	59.94905775338437
uorf	2018-2019	2017-2018	2018-2019	59.7826143724056
cwd	2018-2019	2016-2017	2018-2019	59.41550545524359
ritonavir	2019-2020	2018-2019	2019-2020	59.141826630041066
trametinib	2018-2019	2017-2018	2018-2019	58.807144201732186
gene_283871	2018-2019	2017-2018	2018-2019	58.4823726767351
dichotic	2018-2019	2017-2018	2018-2019	58.38596344245803
peak3	2020-2021	2019-2020	2020-2021	58.1999861483243
rhim	2019-2020	2018-2019	2019-2020	58.10339183387439
gene_192	2020-2021	2019-2020	2020-2021	57.822994043217676
rabl2	2021-2022	2020-2021	2021-2022	57.512341022812734
iranian	2016-2017	2015-2016	2016-2017	57.45877071517785
mlae	2019-2020	2018-2019	2019-2020	56.61575914028969
chirp	2016-2017	2015-2016	2016-2017	56.53708319431775
gene_7448	2019-2020	2018-2019	2019-2020	55.66862440301434
radiomic	2018-2019	2017-2018	2018-2019	55.646377987843046
impβ	2020-2021	2018-2019	2020-2021	55.27630772501502
postdoc	2016-2017	2015-2016	2016-2017	55.010457980664974
mglb	2018-2019	2017-2018	2018-2019	54.93693275684846
tapa	2018-2019	2017-2018	2018-2019	54.28484338038621
eicosanoid	2018-2019	2017-2018	2018-2019	54.25895354616489
gsl	2018-2019	2015-2016	2018-2019	54.05665344321543
dauer	2017-2018	2016-2017	2017-2018	53.88884910976823
lopinavir	2019-2020	2018-2019	2019-2020	53.84166286448658
atf3	2016-2017	2015-2016	2016-2017	52.98171538504102
myonuclei	2018-2019	2017-2018	2018-2019	52.92250448908974
jia	2017-2018	2016-2017	2017-2018	52.9192840330941
gene_7113	2019-2020	2018-2019	2019-2020	52.87743194068389
gene_57697	2019-2020	2018-2019	2019-2020	52.80976110236681
pbp2	2018-2019	2017-2018	2018-2019	52.75748261282873
tarp	2018-2019	2017-2018	2018-2019	52.584542410910416
drice	2019-2020	2018-2019	2019-2020	52.17915823146348
sct	2018-2019	2017-2018	2018-2019	52.17769901777501
gene_5099	2020-2021	2016-2017	2020-2021	52.16489781081069
gene_37757	2020-2021	2019-2020	2020-2021	51.90573742450852
mir-130a	2020-2021	2019-2020	2020-2021	51.81161316616484
gene_9368	2020-2021	2019-2020	2020-2021	51.713766652266116
gene_109660	2018-2019	2017-2018	2018-2019	51.483333619255305
zdbf2	2020-2021	2018-2019	2020-2021	51.41783645413406
gene_6790	2018-2019	2017-2018	2018-2019	51.291417956706766
rada	2019-2020	2018-2019	2019-2020	51.25081496472372
gene_634	2019-2020	2018-2019	2019-2020	51.06994560815217
gamble	2017-2018	2016-2017	2017-2018	51.06916795497663
vflip	2020-2021	2019-2020	2020-2021	50.94339667869445
rhizodeposit	2020-2021	2019-2020	2020-2021	50.60470220394689
vacuole	2016-2017	2015-2016	2016-2017	50.55230932269158
euroimmun	2019-2020	2018-2019	2019-2020	50.50870986698311
pabpc	2020-2021	2019-2020	2020-2021	50.387189054906386
tip1	2020-2021	2019-2020	2020-2021	50.36515074253778
btla	2018-2019	2017-2018	2018-2019	50.22148395731614
pl1	2018-2019	2017-2018	2018-2019	50.13439799595015
gene_110798	2018-2019	2017-2018	2018-2019	49.86220629778683
gene_120892	2018-2019	2017-2018	2018-2019	49.69182770668834
pte	2018-2019	2017-2018	2018-2019	49.67720702890353
gene_3832	2018-2019	2017-2018	2018-2019	49.45675338946754
moral	2018-2019	2017-2018	2018-2019	49.2297765467328
gene_12986	2020-2021	2019-2020	2020-2021	48.68251382724154
schistosomula	2018-2019	2017-2018	2018-2019	48.608161796625886
species_339	2018-2019	2017-2018	2018-2019	48.40557312487749
plb	2018-2019	2017-2018	2018-2019	48.23956574960605
chis	2019-2020	2018-2019	2019-2020	48.22632608777478
gene_852702	2018-2019	2016-2017	2018-2019	48.213892381604346
tel1	2018-2019	2017-2018	2018-2019	48.06398330323418
spn	2017-2018	2016-2017	2017-2018	47.93073359122008
pandemic	2019-2020	2016-2017	2019-2020	47.82457987122699
club	2016-2017	2015-2016	2016-2017	47.72934550352094
brap	2020-2021	2019-2020	2020-2021	47.3462451362165
mvr	2018-2019	2017-2018	2018-2019	46.93552309558679
hcw	2019-2020	2018-2019	2019-2020	46.87982027763442
cib1	2018-2019	2017-2018	2018-2019	46.83001326663495
stag2	2018-2019	2017-2018	2018-2019	46.63503111985478
hmv	2019-2020	2018-2019	2019-2020	46.56779584225663
polη	2019-2020	2018-2019	2019-2020	46.4957115654811
pkn1	2020-2021	2019-2020	2020-2021	46.44922613903091
epistemic	2018-2019	2017-2018	2018-2019	46.43991755665737
hml	2018-2019	2017-2018	2018-2019	46.418247594773284
nop	2019-2020	2018-2019	2019-2020	46.09233380960879
pom1	2018-2019	2017-2018	2018-2019	45.97773786056849
gene_1760	2018-2019	2017-2018	2018-2019	45.92242880140923
species_61384	2018-2019	2017-2018	2018-2019	45.85689930909419
sneeze	2019-2020	2018-2019	2019-2020	45.8433372735949
aide	2018-2019	2017-2018	2018-2019	45.83384874820698
deet	2018-2019	2017-2018	2018-2019	45.80920614217694
swi5	2018-2019	2017-2018	2018-2019	45.76137546813547
gene_813	2019-2020	2018-2019	2019-2020	45.69762883465023
sia	2018-2019	2017-2018	2018-2019	45.41735553067724
oe	2016-2017	2015-2016	2016-2017	45.33927351659028
cps	2016-2017	2015-2016	2016-2017	45.207488785743614
ecuador	2016-2017	2015-2016	2016-2017	44.90768738814646
δompa	2020-2021	2019-2020	2020-2021	44.83499863918801
imv	2019-2020	2018-2019	2019-2020	44.74074806170644
facemask	2019-2020	2018-2019	2019-2020	44.634059819839685
jra	2020-2021	2019-2020	2020-2021	44.55175015462987
rec2	2018-2019	2017-2018	2018-2019	44.48776921478081
gene_2534	2018-2019	2017-2018	2018-2019	44.3728896605386
paratope	2018-2019	2017-2018	2018-2019	44.255634009888254
gene_214133	2018-2019	2017-2018	2018-2019	44.226951025498046
kiss1	2019-2020	2018-2019	2019-2020	44.18886309431684
gene_15387	2020-2021	2018-2019	2020-2021	44.05924414401564
species_105023	2018-2019	2017-2018	2018-2019	44.00508421733446
pef	2018-2019	2017-2018	2018-2019	43.91476475896832
pair1	2020-2021	2018-2019	2020-2021	43.88153326333157
pck1	2018-2019	2017-2018	2018-2019	43.705133243995064
gene_17067	2018-2019	2017-2018	2018-2019	43.575314332334
gene_23764	2020-2021	2019-2020	2020-2021	43.54096866070554
suecica	2020-2021	2019-2020	2020-2021	43.539232746724615
meha	2020-2021	2019-2020	2020-2021	43.44576008870497
stromule	2020-2021	2019-2020	2020-2021	43.25156997991976
lgl	2018-2019	2017-2018	2018-2019	43.17402414890439
kif2a	2019-2020	2018-2019	2019-2020	42.802841538792116
gene_14229	2020-2021	2019-2020	2020-2021	42.784394377036776
sigh	2018-2019	2017-2018	2018-2019	42.71936830466157
nsun2	2018-2019	2017-2018	2018-2019	42.70533519842405
brms1	2020-2021	2019-2020	2020-2021	42.54969398652375
pirna	2016-2017	2015-2016	2016-2017	42.535476728445424
species_542	2018-2019	2017-2018	2018-2019	42.46484290810312
sidj	2020-2021	2019-2020	2020-2021	42.43983344405156
glyphosate	2017-2018	2016-2017	2017-2018	42.32727104512009
spikelet	2017-2018	2016-2017	2017-2018	42.31987425180974
surfactin	2018-2019	2017-2018	2018-2019	42.29057546147205
escapee	2017-2018	2016-2017	2017-2018	42.27750851654398
