disease	gene	class	score
MESH:D024821	2117	1	0.6184581518173218
MESH:D007680	5546	1	0.5991910696029663
MESH:D008105	1737	1	0.5673784017562866
MESH:D004938	6317	1	0.5504570007324219
MESH:D005642	1296	1	0.5476294755935669
MESH:D001943	672	1	0.5432218313217163
MESH:D006111	7253	1	0.5375682711601257
MESH:D001943	2064	1	0.5307060480117798
MESH:D008545	673	1	0.5219385027885437
MESH:D000310	4221	1	0.5214115381240845
MESH:D011471	354	1	0.5209308266639711
MESH:D005910	3417	1	0.517509400844574
MESH:D001943	2099	1	0.5140253305435181
MESH:D004827	6323	1	0.5111548900604248
MESH:D008577	4771	1	0.5093027949333191
MESH:D010051	672	1	0.5028334259986877
MESH:D050197	4018	1	0.4933495223522186
MESH:D001172	3106	1	0.4892126023769378
MESH:D012559	91752	1	0.4891001582145691
MESH:D001172	5657	1	0.4888863563537598
MESH:D005910	4255	1	0.4883760511875153
MESH:D010300	120892	1	0.4882819354534149
MESH:D001528	4210	1	0.483614057302475
MESH:D008268	23418	1	0.4800739586353302
MESH:D013274	56287	1	0.4790666401386261
MESH:D012559	27185	1	0.478835940361023
MESH:D009765	9370	1	0.4778725504875183
MESH:D011085	6462	1	0.476489245891571
MESH:D009765	3952	1	0.4754780828952789
MESH:D007680	7428	1	0.4747878909111023
MESH:D013167	3106	1	0.4733215272426605
MESH:D000740	57817	1	0.4722045660018921
MESH:D050197	4973	1	0.471346914768219
MESH:D010051	94025	1	0.4700170755386353
MESH:D011471	367	1	0.4699875712394714
MESH:D019337	2322	1	0.4698303043842316
MESH:D000690	6311	1	0.468761146068573
MESH:D011085	9370	1	0.4680134356021881
MESH:D009765	3630	1	0.4666959643363953
MESH:D007037	7173	1	0.4651114344596863
MESH:D008654	10232	1	0.4646216332912445
MESH:D011471	2346	1	0.4620235860347748
MESH:D000544	351	1	0.4618708491325378
MESH:D050197	7941	1	0.4616199433803558
MESH:D015535	3106	1	0.4593749642372131
MESH:D013274	2064	1	0.4580717384815216
MESH:D054990	6441	1	0.4568788409233093
MESH:D012559	84062	1	0.4567005336284638
MESH:D008545	4286	1	0.4557192325592041
MESH:D010190	4221	1	0.4551869332790375
MESH:D009765	252995	1	0.4542095959186554
MESH:D008180	3106	0	0.4527972042560578
MESH:D011471	4824	1	0.4524678289890289
MESH:D003876	386653	1	0.4519414603710175
MESH:D000544	4137	1	0.4517977833747864
MESH:D015433	22925	1	0.4508913457393646
MESH:D008180	10673	1	0.4503999948501587
MESH:D003922	3630	1	0.4498523473739624
MESH:D006973	8991	1	0.44970276951789856
MESH:D003924	3630	1	0.4490170478820801
MESH:D019337	171023	1	0.4483852684497833
MESH:D050197	3949	1	0.4477654099464417
MESH:D011471	9520	0	0.4469949007034302
MESH:D010300	2629	1	0.4465642869472504
MESH:D007889	9968	1	0.4460856318473816
MESH:D000544	348	1	0.44557547569274897
MESH:D003922	3898	1	0.4455260038375855
MESH:D009765	145264	1	0.445112407207489
MESH:D003876	2312	1	0.4446787238121033
MESH:D008545	5925	1	0.443453311920166
MESH:D000544	5663	1	0.4426432549953461
MESH:D009765	26291	1	0.4415273070335388
MESH:D009765	4160	1	0.4402834475040436
MESH:D009765	79068	1	0.4399432241916657
MESH:D008545	4893	1	0.4393805861473084
MESH:D003424	64127	1	0.4382324814796448
MESH:D010051	10232	1	0.4381918013095856
MESH:D005910	4771	0	0.4381501078605652
MESH:D007037	7253	1	0.4379231035709381
MESH:D011471	10481	1	0.437208503484726
MESH:D009103	4340	1	0.43717679381370544
MESH:D003876	85480	1	0.4370608925819397
MESH:D008180	3663	1	0.4369886517524719
MESH:D005923	7827	1	0.4359751641750336
MESH:D008180	5657	1	0.4358294904232025
MESH:D007680	5076	1	0.4354300498962401
MESH:D002311	6331	1	0.435264527797699
MESH:D011085	268	1	0.4352206289768219
MESH:D011085	3952	1	0.4329871535301209
MESH:D010051	2099	1	0.4325640499591827
MESH:D010024	50964	1	0.43247151374816895
MESH:D007680	6928	1	0.43204423785209656
MESH:D011085	56729	1	0.4290885925292969
MESH:D012559	1813	1	0.4284903407096863
MESH:D008268	6121	1	0.4278761744499207
MESH:D010518	3929	1	0.4270358085632324
MESH:D053040	7369	1	0.4264869689941406
MESH:D000690	203228	1	0.4264257848262787
MESH:D008545	2064	1	0.42606455087661743
MESH:D008545	25797	1	0.4252714812755585
MESH:D002311	4607	1	0.4252665340900421
MESH:D000690	6647	1	0.424706757068634
MESH:D001943	5925	1	0.42440223693847656
MESH:D001172	7124	1	0.424313485622406
MESH:D003110	4583	1	0.4233445525169373
MESH:D010524	4763	1	0.4229718148708344
MESH:D008545	29126	1	0.4221083819866181
MESH:D050197	255738	1	0.4213339388370514
MESH:D010190	3845	1	0.42117217183113104
MESH:D019337	3717	1	0.4210476279258728
MESH:D013274	999	1	0.42097827792167664
MESH:D008545	1956	1	0.419778972864151
MESH:D000163	920	1	0.4197445809841156
MESH:D001321	4763	1	0.41915610432624817
MESH:D001289	1815	1	0.4191182255744934
MESH:D009765	2117	1	0.41828587651252747
MESH:D011471	2064	1	0.4172370433807373
MESH:D008545	3815	1	0.41680943965911865
MESH:D008545	23532	1	0.416499525308609
MESH:D013274	7031	1	0.4164842665195465
MESH:D009765	5919	1	0.4163724184036255
MESH:D029424	6441	1	0.41633379459381104
MESH:D005910	8842	1	0.4160593152046204
MESH:D000740	2056	1	0.4150001406669617
MESH:D009373	57167	1	0.414779543876648
MESH:D003924	2645	1	0.4144936203956604
MESH:D009373	6657	1	0.41408321261405945
MESH:D015535	51561	1	0.4137748777866364
MESH:D010051	2064	1	0.4128858149051666
MESH:D011085	3973	1	0.4125672876834869
MESH:D011471	25797	0	0.4124498665332794
MESH:D003924	6524	1	0.4118883013725281
MESH:D011085	2492	1	0.41157713532447815
MESH:D001321	85358	1	0.4115320146083832
MESH:D010300	6311	1	0.4114205837249756
MESH:D011085	3630	1	0.4110580086708069
MESH:D007680	4771	1	0.41067296266555786
MESH:D007680	84925	1	0.4105803966522217
MESH:D001249	94103	1	0.4100374877452849
MESH:D011085	10135	1	0.4095894992351532
MESH:D010518	4317	1	0.40958908200263977
MESH:D012559	121278	1	0.409440815448761
MESH:D019337	861	1	0.40905532240867615
MESH:D010051	8220	1	0.4088769853115082
MESH:D003924	6927	1	0.4088563024997711
MESH:D001749	11186	1	0.4088361561298369
MESH:D008180	6737	1	0.40869271755218506
MESH:D001172	10673	1	0.4086450338363648
MESH:D013274	51196	1	0.4086182415485382
MESH:D005910	8434	1	0.4086084365844727
MESH:D001749	5925	1	0.4077223539352417
MESH:D001932	3417	1	0.40679192543029785
MESH:D004827	6792	1	0.4067808985710144
MESH:D012559	6532	1	0.4066566228866577
MESH:D007680	8314	1	0.4064097404479981
MESH:D001943	675	1	0.4063448309898377
MESH:D009765	80339	1	0.4057679772377014
MESH:D001943	5241	1	0.4056961536407471
MESH:D005134	5925	1	0.4054731726646423
MESH:D003924	1803	1	0.4054101705551148
MESH:D005910	8880	1	0.4054001569747925
MESH:D001943	4830	1	0.4051010310649872
MESH:D013274	9788	1	0.4049855470657349
MESH:D008180	26191	1	0.4049212336540222
MESH:D007676	8074	1	0.4049002826213837
MESH:D024821	9370	1	0.40488553047180176
MESH:D012878	4157	1	0.4047083258628845
MESH:D013120	4771	1	0.4045796394348145
MESH:D015535	4210	1	0.4039659798145294
MESH:D011471	2099	1	0.4033695757389069
MESH:D001289	1312	1	0.4028819501399994
MESH:D001943	1956	1	0.4023759961128235
MESH:D001172	23569	1	0.4020528495311737
MESH:D019337	54790	1	0.401992529630661
MESH:D050197	4982	1	0.4019679427146912
MESH:D015535	3605	1	0.4018741250038147
MESH:D013274	4233	1	0.4018720388412476
