	disease	gene	class	score
6672	MESH:D008105	1737	1	0.6766291700027607
1354	MESH:D001943	672	1	0.5789593835814032
767	MESH:D007680	5546	1	0.5698593520679279
2254	MESH:D004938	6317	1	0.5668773370711417
7633	MESH:D006111	7253	1	0.5648489993812273
2872	MESH:D011471	23037	1	0.5606722112986133
6841	MESH:D024821	2117	1	0.557247590612314
7962	MESH:D013167	3106	1	0.5528094102707052
2459	MESH:D011471	354	1	0.552143614108974
1426	MESH:D001943	2064	1	0.5470942004344073
1172	MESH:D010051	672	1	0.5205786513822169
8742	MESH:D001528	4210	1	0.5196385759228084
6131	MESH:D009765	3952	1	0.5186883771121409
5306	MESH:D001172	3106	1	0.5165407688037633
10094	MESH:D004827	6323	1	0.5115176704179969
11603	MESH:D000740	2056	1	0.5093251978479405
1303	MESH:D010051	94025	1	0.5070770558655039
9143	MESH:D050197	4018	1	0.5061491426538651
4371	MESH:D008577	4771	1	0.5057454344538255
6259	MESH:D009765	9370	1	0.5022274824815852
2129	MESH:D000310	4221	1	0.5002857278784694
5378	MESH:D001172	5657	1	0.49801761912608206
1431	MESH:D001943	2099	1	0.4974348683450122
4536	MESH:D003424	64127	1	0.4955597660422039
5168	MESH:D003922	3630	1	0.4951751839706226
5172	MESH:D003922	3898	1	0.4941404913462104
11469	MESH:D005642	1296	1	0.4938398244330218
9831	MESH:D007562	5621	1	0.4924798143263211
9157	MESH:D050197	4973	1	0.4915419418627755
4815	MESH:D003924	3630	1	0.4888223357217215
6810	MESH:D008268	23418	1	0.4852465795243961
7631	MESH:D006111	7038	1	0.4814945624450931
801	MESH:D007680	7428	1	0.4791034967781216
2562	MESH:D011471	2346	1	0.4765652556597313
3248	MESH:D013274	56287	1	0.4765103252264003
1912	MESH:D005910	3417	1	0.4761388684092257
11322	MESH:D010195	5539	1	0.4757495710162417
9840	MESH:D053713	1617	1	0.4713604697476018
6495	MESH:D008180	6737	1	0.471220872944184
939	MESH:D010190	4221	1	0.4703267710760897
6126	MESH:D009765	3630	1	0.4696754277733944
7350	MESH:D012559	91752	1	0.4682711069206076
3996	MESH:D008545	673	1	0.4674879873312093
8106	MESH:D011085	9370	1	0.4674071060280317
10571	MESH:D015535	3106	1	0.4666522443002169
6140	MESH:D009765	4160	1	0.4663411388942561
7785	MESH:D010300	120892	1	0.4646231329955418
4630	MESH:D009103	4340	1	0.4643827427520078
7431	MESH:D000544	351	1	0.4640829958681819
6316	MESH:D009765	79068	1	0.4639259563296733
9202	MESH:D050197	7941	1	0.4637396106356484
2461	MESH:D011471	367	1	0.463322708816139
1933	MESH:D005910	4255	1	0.4612455738136778
6343	MESH:D009765	252995	1	0.4601623556118364
7802	MESH:D003876	2312	1	0.4600660163407334
6309	MESH:D009765	56729	1	0.4593005899741857
7861	MESH:D003876	386653	1	0.4592589580263706
7347	MESH:D012559	84062	1	0.4585692017062261
6523	MESH:D008180	10673	1	0.4582097622981464
11330	MESH:D010195	6343	1	0.4581039121262549
4779	MESH:D003924	2645	1	0.4571914994624514
3980	MESH:D008654	10232	1	0.457127120296742
10621	MESH:D015433	22925	1	0.4556255859566609
8077	MESH:D011085	6462	1	0.4552550931976483
8045	MESH:D011085	3952	1	0.4544822874409749
7169	MESH:D012559	1813	1	0.4535135672282668
6339	MESH:D009765	145264	1	0.4510525063794239
7323	MESH:D012559	27185	1	0.4502578226424261
6468	MESH:D008180	3663	1	0.45013327515567103
4903	MESH:D003924	6927	1	0.4499318436837414
7209	MESH:D012559	3356	1	0.44790450514098745
4927	MESH:D003924	9370	1	0.4474557317112749
855	MESH:D007680	84925	1	0.4472305518391686
3949	MESH:D009217	79058	1	0.4471562502742395
3043	MESH:D013274	2064	1	0.445963001879266
20667	MESH:D010051	3973	0	0.4457416052903436
11777	MESH:D000740	57817	1	0.4454853239353064
11174	MESH:D001289	6531	1	0.4447687947028391
6286	MESH:D009765	26291	1	0.4446774620258511
11825	MESH:D000163	920	1	0.4437611819947856
8139	MESH:D011085	56729	1	0.4423866244982007
5195	MESH:D003922	6927	1	0.4418242436636852
7263	MESH:D012559	6531	1	0.4415175844405364
10984	MESH:D002311	6331	1	0.44113267059083294
1419	MESH:D001943	1956	1	0.4408714767956104
8736	MESH:D001528	3106	1	0.4407389453685976
11165	MESH:D001289	1815	1	0.4407244653848865
7506	MESH:D000544	4137	1	0.440458021105868
