Unnamed: 0	disease	gene	class	dummy_score
0	MESH:D019337	25	1	0
1	MESH:D019337	27	1	0
2	MESH:D019337	54	1	0
3	MESH:D019337	113	1	0
4	MESH:D019337	142	1	1
5	MESH:D019337	207	1	0
6	MESH:D019337	213	1	1
7	MESH:D019337	238	1	0
8	MESH:D019337	240	1	0
9	MESH:D019337	249	1	1
10	MESH:D019337	250	1	0
11	MESH:D019337	251	1	1
12	MESH:D019337	290	1	0
13	MESH:D019337	302	1	0
14	MESH:D019337	307	1	1
15	MESH:D019337	308	1	1
16	MESH:D019337	309	1	1
17	MESH:D019337	329	1	0
18	MESH:D019337	330	1	0
19	MESH:D019337	331	1	0
20	MESH:D019337	332	1	0
21	MESH:D019337	355	1	0
22	MESH:D019337	356	1	1
23	MESH:D019337	366	1	0
24	MESH:D019337	367	1	1
25	MESH:D019337	406	1	0
26	MESH:D019337	440	1	1
27	MESH:D019337	472	1	0
28	MESH:D019337	481	1	1
29	MESH:D019337	495	1	1
30	MESH:D019337	545	1	1
31	MESH:D019337	572	1	0
32	MESH:D019337	578	1	1
33	MESH:D019337	581	1	0
34	MESH:D019337	595	1	1
35	MESH:D019337	596	1	0
36	MESH:D019337	598	1	0
37	MESH:D019337	602	1	0
38	MESH:D019337	604	1	0
39	MESH:D019337	613	1	0
40	MESH:D019337	639	1	1
41	MESH:D019337	643	1	1
42	MESH:D019337	648	1	0
43	MESH:D019337	654	1	1
44	MESH:D019337	664	1	0
45	MESH:D019337	673	1	0
46	MESH:D019337	694	1	1
47	MESH:D019337	695	1	1
48	MESH:D019337	768	1	1
49	MESH:D019337	811	1	1
50	MESH:D019337	817	1	0
51	MESH:D019337	822	1	1
52	MESH:D019337	824	1	0
53	MESH:D019337	836	1	1
54	MESH:D019337	840	1	1
55	MESH:D019337	841	1	1
56	MESH:D019337	861	1	0
57	MESH:D019337	862	1	1
58	MESH:D019337	863	1	1
59	MESH:D019337	864	1	1
60	MESH:D019337	865	1	1
61	MESH:D019337	867	1	1
62	MESH:D019337	871	1	0
63	MESH:D019337	894	1	1
64	MESH:D019337	896	1	1
65	MESH:D019337	914	1	1
66	MESH:D019337	920	1	0
67	MESH:D019337	921	1	1
68	MESH:D019337	924	1	0
69	MESH:D019337	925	1	1
70	MESH:D019337	928	1	0
71	MESH:D019337	933	1	1
72	MESH:D019337	939	1	0
73	MESH:D019337	941	1	0
74	MESH:D019337	942	1	0
75	MESH:D019337	943	1	1
76	MESH:D019337	944	1	1
77	MESH:D019337	945	1	1
78	MESH:D019337	947	1	1
79	MESH:D019337	951	1	1
80	MESH:D019337	952	1	1
81	MESH:D019337	958	1	1
82	MESH:D019337	959	1	1
83	MESH:D019337	960	1	0
84	MESH:D019337	965	1	0
85	MESH:D019337	968	1	1
86	MESH:D019337	972	1	1
87	MESH:D019337	973	1	1
88	MESH:D019337	974	1	0
89	MESH:D019337	978	1	0
90	MESH:D019337	1017	1	1
91	MESH:D019337	1019	1	0
92	MESH:D019337	1021	1	1
93	MESH:D019337	1026	1	0
94	MESH:D019337	1027	1	1
95	MESH:D019337	1029	1	1
96	MESH:D019337	1030	1	0
97	MESH:D019337	1043	1	1
98	MESH:D019337	1046	1	0
99	MESH:D019337	1050	1	1
100	MESH:D019337	1052	1	0
